59,27;1
59,26;17
59,24;4
59,23;1
59,22;1
59,21;2
59,20;2
54,86;3
48,00;114
43,74;2
59,29;5
59,28;2
40,18;12
40,19;18
51,36;10
65,94;1
40,10;11
40,11;15
40,12;8
51,37;8
40,14;5
40,15;7
40,16;10
40,17;9
52,14;7
65,73;1
95,82;1
61,47;1
80,40;2
21,42;1
79,78;1
40,90;3
79,76;1
79,77;1
48,08;15
88,24;1
79,71;2
55,08;9
49,34;6
43,72;7
44,50;6
44,51;11
44,52;8
44,53;7
44,54;5
40,91;137
44,56;3
44,57;7
44,58;13
44,59;9
49,30;9
75,30;1
72,24;1
72,25;1
72,26;2
72,27;1
72,20;2
72,22;6
17,35;1
27,00;65
27,01;49
27,02;15
27,03;111
27,04;32
27,05;46
27,06;79
41,94;113
27,08;115
27,09;14
41,99;12
41,98;23
55,30;3
55,31;2
55,32;14
58,10;8
76,67;2
43,70;10
47,29;10
49,39;13
45,02;6
69,76;1
69,29;1
99,56;7
69,23;19
69,27;1
45,80;9
45,81;14
45,82;6
45,83;133
45,84;3
45,85;9
45,86;10
53,67;5
45,88;11
45,89;5
17,11;1
22,88;25
78,91;2
40,94;12
19,05;12
47,20;9
19,06;1
19,01;5
19,00;3
19,03;1
19,02;4
71,08;2
19,09;2
22,85;9
62,35;4
47,24;11
47,25;9
31,89;10
31,88;77
76,47;4
62,30;3
65,71;2
46,89;7
31,83;4
31,82;239
31,81;8
31,80;9
31,87;56
31,86;30
31,85;18
31,84;18
46,67;108
46,66;1
46,65;10
46,64;8
46,63;11
40,50;9
46,61;10
46,60;8
41,29;11
52,06;3
46,69;4
95,79;1
28,13;6
41,26;5
47,11;5
41,27;22
41,24;10
54,28;5
54,29;13
28,98;26
28,99;99
68,27;1
68,25;4
68,48;5
28,92;79
54,21;3
28,90;31
28,91;29
28,96;34
28,97;58
28,94;12
28,95;133
41,20;12
63,45;2
58,45;2
70,41;1
41,21;9
59,92;2
30,59;72
30,58;31
59,93;1
30,53;66
30,52;15
30,51;122
30,50;29
30,57;20
30,56;172
30,55;5
30,54;17
43,42;12
59,91;2
41,44;7
63,29;2
57,07;7
61,88;1
18,10;1
18,13;2
18,12;3
18,15;1
59,94;4
18,18;7
59,95;2
60,87;6
60,29;2
60,28;1
61,45;3
68,47;1
60,23;2
60,22;1
86,90;3
60,20;1
86,96;1
86,97;5
60,25;1
60,24;10
50,51;12
50,50;3
50,53;5
50,52;12
50,55;6
50,54;7
33,98;20
33,99;16
33,96;108
33,97;15
33,94;24
100,00;952
33,92;12
33,93;84
33,90;78
33,91;22
92,65;1
48,38;4
92,60;4
64,35;2
64,36;2
43,41;10
27,77;8
17,81;3
55,01;6
55,04;3
42,32;3
52,59;10
70,66;1
53,48;1
52,56;6
52,55;19
52,54;12
52,53;7
52,52;16
78,99;1
52,50;9
51,74;7
51,75;9
51,76;16
76,59;1
51,70;9
51,71;3
51,72;38
51,73;3
67,92;1
67,91;1
62,88;1
51,78;6
51,79;14
80,72;1
53,35;1
21,01;12
85,38;1
85,34;7
85,31;1
51,48;5
38,28;19
38,29;3
43,47;2
38,22;7
38,23;6
38,20;15
38,21;6
38,26;12
38,27;15
38,24;143
38,25;11
21,33;22
21,32;26
21,31;23
53,31;4
21,37;11
21,36;22
21,35;15
21,34;15
21,39;11
21,38;19
64,13;1
97,37;1
23,79;45
23,78;32
51,46;5
65,00;8
81,36;3
23,71;30
23,70;43
83,71;1
98,67;1
23,75;49
23,74;34
23,77;22
23,76;40
53,86;1
28,27;30
62,63;2
62,62;1
62,65;2
62,64;4
62,67;3
31,73;31
98,62;1
62,82;1
31,70;9
44,55;15
25,37;78
25,36;31
43,84;14
25,34;40
25,33;69
25,32;80
25,31;19
25,30;76
58,95;2
31,76;42
58,97;9
45,18;7
58,24;1
58,90;1
25,39;12
25,38;42
20,56;12
20,57;10
20,54;10
20,55;14
20,52;7
31,74;18
20,50;6
20,51;14
72,47;1
56,43;3
28,20;8
54,70;7
20,58;11
20,59;21
47,99;7
78,05;1
57,78;3
22,58;65
22,59;19
42,29;3
78,03;1
42,27;11
22,55;27
22,56;33
22,57;19
22,50;46
22,51;20
22,52;32
22,53;25
37,26;5
51,39;6
59,30;3
19,70;8
59,32;3
59,33;1
59,34;4
59,35;6
59,36;1
26,73;64
59,38;8
19,72;2
37,25;65
19,73;3
26,76;66
45,98;6
26,77;39
66,49;1
18,29;2
19,76;4
63,27;2
36,38;3
19,77;5
20,18;10
19,78;9
20,19;8
78,68;1
17,33;1
79,43;1
47,59;20
42,18;6
62,86;4
61,43;1
40,66;15
41,28;8
70,59;5
60,40;2
63,19;2
20,12;6
17,05;1
60,42;5
17,03;1
40,63;1
20,13;9
72,56;2
72,59;1
41,93;6
47,56;9
60,47;2
53,16;4
41,92;7
45,78;10
47,51;8
72,53;1
72,55;1
41,91;4
20,17;5
55,49;11
55,48;5
41,90;11
41,88;10
41,89;10
60,48;3
41,84;14
55,40;3
41,86;48
20,15;5
69,30;1
41,81;9
41,82;26
41,96;14
23,26;77
41,95;7
93,51;1
27,07;39
23,24;31
55,34;2
66,04;1
55,35;2
23,22;8
73,19;1
36,59;125
93,55;1
59,08;1
40,85;16
55,37;4
45,79;9
43,57;9
58,43;2
45,75;3
45,74;7
45,77;9
43,56;14
45,71;60
45,70;12
45,73;3
45,72;5
19,16;1
43,59;45
19,14;3
19,15;5
19,12;3
19,13;6
19,10;5
19,11;2
23,11;27
36,58;4
53,41;18
19,18;4
19,19;4
31,94;96
31,95;12
31,96;30
31,97;28
31,90;27
31,91;157
31,92;7
31,93;29
53,47;7
61,30;1
31,98;13
31,99;10
53,46;8
65,62;3
77,09;1
39,56;14
65,66;1
65,67;1
53,44;4
44,69;5
77,03;1
77,02;1
46,70;14
46,71;9
46,72;12
46,73;6
46,74;10
46,75;17
93,56;1
46,77;16
46,78;7
46,79;6
54,75;5
74,19;1
54,74;2
44,42;4
46,40;2
61,90;10
61,92;1
68,38;2
61,97;2
68,34;1
61,98;1
75,00;14
68,32;1
68,33;1
30,44;2
30,45;18
30,46;24
30,47;26
30,40;26
30,41;35
30,42;15
30,43;238
40,81;4
58,93;4
30,48;47
30,49;83
64,29;22
52,93;2
58,40;1
51,33;7
53,59;11
89,74;1
88,66;1
67,38;1
96,34;1
56,03;4
32,85;15
60,34;5
60,36;2
18,01;1
34,49;3
89,73;1
60,32;7
60,33;1
50,73;8
18,09;2
19,52;3
60,39;1
50,72;12
50,70;10
43,51;10
50,42;8
50,43;10
50,40;10
50,41;6
50,46;8
50,47;8
50,44;8
50,45;20
71,18;1
42,28;11
21,16;11
50,49;4
90,52;1
42,81;8
92,59;1
75,17;1
42,80;9
43,50;8
42,82;2
49,68;13
42,84;1
67,84;1
52,49;8
67,86;5
49,69;7
44,73;3
67,81;1
52,40;10
52,41;14
52,42;8
24,11;44
52,44;16
19,96;1
52,46;11
52,47;4
51,01;6
66,74;2
51,03;9
51,02;16
51,05;10
42,26;2
51,07;5
51,06;18
51,09;2
51,08;10
44,22;7
61,59;1
54,94;1
58,49;4
63,98;1
43,52;5
57,90;1
85,25;1
63,93;3
58,37;1
73,68;4
65,33;1
73,17;1
44,29;13
44,28;3
63,75;1
41,57;13
93,97;2
21,28;14
21,29;11
53,09;11
41,56;12
21,24;15
53,06;8
21,26;20
21,27;10
21,20;8
21,21;23
53,01;11
21,23;19
58,36;3
23,68;81
25,67;27
23,62;37
23,63;24
23,60;45
23,61;59
23,66;60
23,67;39
23,64;66
23,65;31
62,73;2
62,70;1
62,71;1
84,69;4
25,62;47
62,74;1
62,75;8
84,67;1
25,63;21
59,07;2
42,23;6
25,20;51
25,21;45
25,22;45
25,23;81
25,24;46
25,25;64
25,26;73
25,27;78
25,28;23
25,29;71
58,84;1
58,82;36
42,76;6
58,81;1
20,63;16
20,62;12
57,45;4
20,60;8
20,67;6
20,66;12
57,41;5
20,64;3
