12,0
11,1
8,9
8,6
6,3
100,0
100,0
100,0
100,0
100,0
100,0
100,0
99,9
99,3
98,8
98,0
97,1
96,2
96,0
95,6
95,6
95,3
95,2
95,2
95,0
94,6
94,2
93,6
93,5
92,3
92,3
92,1
91,1
90,8
90,3
89,5
85,7
85,4
82,9
82,1
79,5
78,8
77,9
77,6
77,3
76,1
76,0
74,7
70,5
68,4
67,9
63,9
62,7
62,7
60,9
60,7
58,1
57,6
55,5
54,6
54,6
54,0
51,9
51,7
50,5
50,4
49,8
48,8
48,1
47,7
46,2
46,2
45,4
43,8
42,4
39,4
38,3
38,1
37,9
37,7
35,9
35,8
34,6
34,5
32,9
31,5
30,9
30,1
30,0
29,3
29,0
29,0
28,5
28,4
28,2
28,2
27,3
26,9
26,8
26,3
26,1
26,0
25,9
25,7
25,5
24,0
23,8
23,6
23,2
22,6
22,4
22,3
21,8
21,5
21,3
21,2
20,9
20,5
85,9
29,6
26,0
20,7
18,9
23,6
13,2
12,4
10,1
10,1
100,0
99,9
99,7
70,3
44,3
100,0
100,0
100,0
25,3
10,7
100,0
100,0
100,0
53,5
22,6
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
99,6
97,0
86,0
83,4
82,8
75,1
73,7
70,2
68,2
61,7
59,5
57,8
54,6
53,3
52,3
49,5
49,1
45,8
44,5
41,9
40,3
38,4
35,1
34,9
30,2
28,4
28,3
27,1
26,6
25,8
22,0
21,7
21,4
20,9
20,9
20,1
99,9
99,8
99,5
72,6
18,7
21,5
12,7
5,9
5,5
5,1
99,6
99,5
99,0
98,9
98,9
98,8
98,2
98,0
97,9
97,8
97,0
96,6
96,4
96,4
96,1
94,5
92,3
90,3
89,3
89,1
86,6
86,4
85,8
85,7
84,6
83,5
79,8
78,3
75,7
74,7
72,7
67,6
67,0
66,5
60,8
57,1
57,0
53,3
52,6
46,8
46,7
46,7
45,1
44,9
43,4
42,9
42,7
41,9
41,9
40,5
39,9
39,8
39,5
39,3
37,8
36,9
35,8
34,2
33,7
32,8
32,3
32,0
31,2
31,0
30,8
30,8
30,7
29,3
29,3
27,9
27,6
26,6
26,5
26,5
25,3
25,3
25,2
24,4
24,1
23,9
22,8
22,8
22,8
22,7
21,7
21,4
21,1
20,5
20,3
20,2
20,2
20,1
99,7
99,4
99,0
98,7
98,7
98,6
97,8
97,7
97,6
97,6
96,9
96,6
96,4
96,1
95,0
94,8
94,3
92,1
90,9
90,7
89,8
89,5
88,0
87,1
85,0
84,8
84,7
75,2
73,4
73,0
72,0
71,6
71,4
71,1
58,9
57,4
55,3
54,9
54,0
53,7
53,5
53,4
50,3
49,9
47,6
47,5
46,8
46,3
46,0
45,5
45,1
42,9
42,3
41,2
41,1
40,9
40,6
40,6
39,0
38,8
38,3
37,4
37,1
35,1
34,4
34,4
34,2
34,1
33,9
33,8
33,1
32,2
31,8
31,3
30,9
30,7
30,7
30,7
30,6
30,6
29,1
29,1
28,6
28,2
28,0
27,6
27,6
26,6
26,3
26,3
26,2
25,6
25,4
25,3
25,0
24,9
24,8
24,7
24,6
23,8
22,8
22,3
21,9
21,3
20,9
20,6
20,5
20,3
20,1
98,7
98,6
96,3
94,1
92,7
84,7
70,1
35,1
28,8
27,7
96,3
96,1
96,1
95,9
95,6
95,5
95,5
95,4
95,3
95,0
93,9
93,7
93,0
91,7
90,8
90,4
90,4
90,2
89,5
89,4
89,0
88,1
87,5
87,1
86,7
86,0
84,5
84,2
83,2
81,9
81,5
80,6
80,0
79,5
79,3
78,8
78,1
76,3
66,5
64,0
62,7
62,1
61,6
60,1
57,3
57,1
57,1
54,8
48,8
42,0
41,7
40,9
36,3
35,1
34,1
32,4
30,3
27,7
27,5
27,4
24,8
24,3
24,0
22,2
21,7
20,2
13,4
3,5
3,3
2,7
2,2
94,1
89,2
84,7
82,4
79,5
73,5
70,7
70,5
62,3
62,1
61,8
53,6
45,3
44,4
38,5
37,3
31,7
29,3
28,1
27,5
24,7
23,9
23,3
22,4
22,3
22,2
91,6
88,5
71,5
68,9
63,7
39,2
31,1
26,6
24,4
22,2
21,9
93,6
90,1
89,5
78,2
67,1
64,9
43,7
35,2
30,7
29,6
24,9
24,3
21,1
22,6
12,6
9,4
7,9
7,0
100,0
100,0
100,0
100,0
100,0
99,9
99,9
99,9
99,8
99,8
99,8
99,8
99,8
99,8
99,8
99,8
99,8
99,8
99,8
99,8
99,8
99,8
99,8
99,8
99,8
99,8
99,8
99,8
99,8
99,7
99,7
99,7
99,7
99,7
99,7
99,7
99,7
99,7
99,6
99,6
99,6
99,6
99,6
99,6
99,6
99,6
99,6
99,6
99,6
99,6
99,6
99,6
99,5
99,5
99,5
99,5
99,5
99,5
99,5
99,5
99,5
99,5
99,5
99,5
99,5
99,5
99,4
99,4
99,4
99,3
99,3
99,3
99,3
99,2
99,2
99,2
99,2
99,2
99,2
99,2
99,1
99,1
99,0
99,0
99,0
98,9
98,9
98,8
98,8
98,7
98,7
98,6
98,5
98,3
98,2
98,1
98,1
97,9
97,8
97,8
97,8
97,8
97,7
97,6
97,5
97,4
97,4
97,3
97,3
97,2
96,7
96,7
96,6
96,4
96,1
95,9
95,7
95,6
95,3
95,1
95,0
94,9
94,8
94,7
94,5
94,5
94,3
94,2
93,6
93,3
92,8
92,5
92,1
91,4
91,0
90,9
90,9
90,7
90,7
90,6
89,9
89,9
88,4
88,4
88,1
87,1
82,8
82,6
79,5
78,2
