35,8;279
35,9;331
35,2;304
35,3;315
35,0;300
35,1;326
35,6;309
35,7;280
35,4;299
35,5;303
37,8;266
37,9;295
37,0;309
37,1;274
37,2;299
37,3;298
37,4;302
37,5;302
37,6;297
37,7;273
78,2;251
7,8;134
73,3;248
68,8;215
73,5;258
45,9;242
45,8;226
45,3;256
45,2;234
45,1;246
45,0;225
45,7;235
45,6;269
45,5;241
45,4;257
92,9;914
92,8;953
92,3;853
92,2;857
92,1;791
92,0;807
92,7;864
92,6;849
92,5;911
92,4;876
7,0;134
49,7;225
49,6;245
49,5;249
7,1;113
49,3;220
49,2;241
49,1;237
49,0;235
49,9;225
49,8;262
90,9;595
90,8;715
55,6;232
55,7;234
55,0;237
55,1;253
55,2;223
55,3;210
90,1;600
90,0;625
90,3;655
90,2;644
90,5;602
90,4;681
90,7;609
90,6;636
96,9;2536
96,8;2517
96,7;2424
96,6;2327
96,5;2304
96,4;2210
96,3;2161
96,2;2218
96,1;2187
96,0;2119
7,9;136
94,9;1513
94,8;1466
94,5;1389
94,4;1326
94,7;1480
94,6;1449
94,1;1274
94,0;1198
94,3;1267
94,2;1272
36,4;269
59,0;219
59,1;199
59,2;240
59,3;233
59,4;242
59,5;208
59,6;205
59,7;213
59,8;199
59,9;193
57,6;218
57,7;236
57,4;231
57,5;226
57,2;197
57,3;194
57,0;236
57,1;222
57,8;237
57,9;242
67,7;213
67,6;222
67,5;220
67,4;236
67,3;218
67,2;196
67,1;271
67,0;223
67,9;228
67,8;221
1,6;10
85,5;445
10,4;117
0,3;39
71,2;227
71,3;221
71,0;229
71,1;241
71,6;257
71,7;229
41,9;267
71,5;247
41,7;285
41,6;249
41,5;277
41,4;242
41,3;266
41,2;274
41,1;263
41,0;259
43,9;268
43,8;274
43,5;285
43,4;259
43,7;262
43,6;219
43,1;267
43,0;295
43,3;260
43,2;248
63,3;226
63,2;205
63,1;244
63,0;238
63,7;208
63,6;216
63,5;234
63,4;238
63,9;220
63,8;230
46,5;228
61,1;235
61,0;256
61,3;211
61,2;220
61,5;239
61,4;232
61,7;252
61,6;214
61,9;215
61,8;198
2,3;17
80,5;293
0,9;12
0,8;23
53,8;248
53,9;219
13,8;76
53,2;247
53,3;212
53,0;207
53,1;232
53,6;216
53,7;237
53,4;254
53,5;234
51,8;189
51,9;219
51,2;213
51,0;244
51,1;247
47,3;231
51,3;206
51,4;217
51,5;236
51,6;228
51,7;215
5,0;117
5,1;118
5,2;107
5,3;116
5,4;125
5,5;133
75,8;251
5,7;116
5,8;114
5,9;110
75,4;229
75,5;232
75,2;255
75,3;271
75,0;270
75,1;242
47,9;272
47,8;247
77,8;279
77,9;290
2,1;13
77,4;299
47,0;227
77,6;294
47,2;226
47,5;249
77,1;249
47,7;250
47,6;207
13,3;77
5,6;147
75,9;245
75,6;267
75,7;249
33,4;334
80,7;253
80,4;284
6,7;129
6,6;129
12,1;98
12,0;70
6,3;131
12,6;84
6,1;146
12,4;73
33,0;382
12,9;80
12,8;79
6,9;132
80,3;316
10,1;113
10,0;119
10,3;112
10,2;98
10,5;107
33,2;319
10,7;104
10,6;114
10,9;117
10,8;96
33,3;352
77,5;276
16,7;54
16,6;77
16,5;51
16,4;57
16,3;53
16,2;65
16,1;49
16,0;66
16,9;53
16,8;55
69,9;228
69,8;239
69,1;226
69,0;234
69,3;238
69,2;225
69,5;227
69,4;231
69,7;264
69,6;228
47,1;240
26,8;443
26,9;477
26,6;475
26,7;444
26,4;411
26,5;421
26,2;468
